threshold;versione;time_slot;book_name;tipo;stato;actual_ci;forecast_time;forecast_ci;tempo_sec;co2_emessa_g
150;pattern;11:00;Le avventure di Alice nel Paese delle Meraviglie;precedente;eseguito;145.0;11:30;135.0;3.9000005926936865e-06;7.854167860285897e-09
150;pattern;11:00;Il conte di Montecristo;precedente;eseguito;145.0;11:30;135.0;2.499999936844688e-06;5.034722095034441e-09
150;pattern;11:30;I viaggi di Gulliver;corrente;eseguito;160.0;12:00;170.0;8.43528889999925;0.01874508644444278
150;pattern;11:30;Sulla strada;corrente;eseguito;160.0;12:00;170.0;8.364531100000022;0.018587846888888936
150;pattern;11:30;Il profumo;corrente;eseguito;160.0;12:00;170.0;8.40404480000052;0.01867565511111227
150;pattern;11:30;Cecità;corrente;eseguito;160.0;12:00;170.0;8.321720500000083;0.01849271222222241
150;pattern;11:30;L'alchimista;corrente;eseguito;160.0;12:00;170.0;8.310201999999663;0.018467115555554806
150;pattern;11:30;Frankenstein;precedente;eseguito;160.0;12:00;170.0;5.4000001910026185e-06;1.2000000424450263e-08
150;pattern;11:30;Dracula;precedente;eseguito;160.0;12:00;170.0;1.8999999156221747e-06;4.222222034715944e-09
150;pattern;11:30;I fratelli Karamazov;precedente;eseguito;160.0;12:00;170.0;2.1999994714860804e-06;4.888887714413512e-09
150;pattern;11:30;Il buio oltre la siepe;precedente;eseguito;160.0;12:00;170.0;5.200000487093348e-06;1.155555663798522e-08
150;pattern;11:30;Jane Eyre;precedente;eseguito;160.0;12:00;170.0;4.100000296602957e-06;9.111111770228793e-09
150;pattern;12:00;La fattoria degli animali;corrente;eseguito;250.0;12:30;260.0;8.347855100000743;0.02898560798611369
150;pattern;12:00;Il maestro e Margherita;corrente;eseguito;250.0;12:30;260.0;8.43409199999951;0.029285041666664968
150;pattern;12:00;Siddharta;corrente;eseguito;250.0;12:30;260.0;8.32336959999975;0.028900588888888027
150;pattern;12:00;La coscienza di Zeno;corrente;eseguito;250.0;12:30;260.0;8.419214599999577;0.02923338402777631
150;pattern;12:00;I dolori del giovane Werther;corrente;eseguito;250.0;12:30;260.0;8.41429429999971;0.029216299652776778
150;pattern;12:00;I viaggi di Gulliver;precedente;eseguito;250.0;12:30;260.0;6.70000008540228e-06;2.3263889185424585e-08
150;pattern;12:00;Sulla strada;precedente;eseguito;250.0;12:30;260.0;4.300000000512227e-06;1.4930555557334127e-08
150;pattern;12:00;Il profumo;precedente;eseguito;250.0;12:30;260.0;4.399999852466863e-06;1.5277777265509943e-08
150;pattern;12:00;Cecità;precedente;eseguito;250.0;12:30;260.0;3.5000002753804438e-06;1.2152778733959874e-08
150;pattern;12:00;L'alchimista;precedente;eseguito;250.0;12:30;260.0;1.8999999156221747e-06;6.597221929243663e-09
150;pattern;12:30;Il richiamo della foresta;corrente;eseguito;310.0;13:00;246.0;8.38823130000037;0.0361159958750016
150;pattern;12:30;Ventimila leghe sotto i mari;corrente;eseguito;310.0;13:00;246.0;8.472087099999953;0.03647704168055536
150;pattern;12:30;Memorie di una geisha;corrente;eseguito;310.0;13:00;246.0;8.272968000000219;0.03561972333333428
150;pattern;12:30;Il fu Mattia Pascal;corrente;eseguito;310.0;13:00;246.0;8.437745600000198;0.036329182444445295
150;pattern;12:30;Odissea;corrente;eseguito;310.0;13:00;246.0;8.301712999999836;0.03574348652777708
150;pattern;12:30;La fattoria degli animali;precedente;eseguito;310.0;13:00;246.0;4.300000000512227e-06;1.8513888891094314e-08
150;pattern;12:30;Il maestro e Margherita;precedente;eseguito;310.0;13:00;246.0;1.8000000636675395e-06;7.75000027412413e-09
150;pattern;12:30;Siddharta;precedente;eseguito;310.0;13:00;246.0;2.100000529026147e-06;9.041668944418134e-09
150;pattern;12:30;La coscienza di Zeno;precedente;eseguito;310.0;13:00;246.0;4.499999704421498e-06;1.937499872737034e-08
150;pattern;12:30;I dolori del giovane Werther;precedente;eseguito;310.0;13:00;246.0;2.0000006770715117e-06;8.61111402628012e-09
150;ca;08:00;Il Signore degli Anelli;corrente;eseguito;230.0;08:30;195.0;8.393674699999792;0.026813127513888226
150;ca;08:00;1984;corrente;eseguito;230.0;08:30;195.0;8.34854820000055;0.026668973416668428
150;ca;08:00;Il nome della rosa;corrente;eseguito;230.0;08:30;195.0;8.359342099999594;0.026703453930554264
150;ca;08:00;Cent'anni di solitudine;corrente;eseguito;230.0;08:30;195.0;8.425543800000014;0.026914931583333378
150;ca;08:00;Orgoglio e pregiudizio;corrente;eseguito;230.0;08:30;195.0;8.380694100000255;0.026771661708334147
150;ca;08:30;Delitto e castigo;corrente;eseguito;210.0;09:00;240.0;8.457200899999407;0.024666835958331607
150;ca;08:30;Il cacciatore di aquiloni;corrente;eseguito;210.0;09:00;240.0;8.478623199999674;0.024729317666665716
150;ca;08:30;Se questo è un uomo;corrente;eseguito;210.0;09:00;240.0;8.320583400000032;0.024268368250000096
150;ca;08:30;La metamorfosi;corrente;eseguito;210.0;09:00;240.0;8.276413699999466;0.024139539958331777
150;ca;08:30;Il ritratto di Dorian Gray;corrente;eseguito;210.0;09:00;240.0;8.387839999999414;0.024464533333331626
150;ca;08:30;Il Signore degli Anelli;precedente;eseguito;210.0;09:00;240.0;4.599999556376133e-06;1.3416665372763721e-08
150;ca;08:30;1984;precedente;eseguito;210.0;09:00;240.0;2.499999936844688e-06;7.291666482463674e-09
150;ca;08:30;Il nome della rosa;precedente;eseguito;210.0;09:00;240.0;1.7000002117129043e-06;4.958333950829303e-09
150;ca;08:30;Cent'anni di solitudine;precedente;eseguito;210.0;09:00;240.0;1.3999997463542968e-06;4.083332593533366e-09
150;ca;08:30;Orgoglio e pregiudizio;precedente;eseguito;210.0;09:00;240.0;5.599999894911889e-06;1.6333333026826342e-08
150;ca;09:00;Don Chisciotte della Mancia;corrente;eseguito;270.0;09:30;198.0;8.43119630000001;0.031616986125000045
150;ca;09:00;Il barone rampante;corrente;eseguito;270.0;09:30;198.0;8.408231500000511;0.03153086812500192
150;ca;09:00;Harry Potter e la pietra filosofale;corrente;eseguito;270.0;09:30;198.0;8.496775399999933;0.03186290774999975
150;ca;09:00;Fahrenheit 451;corrente;eseguito;270.0;09:30;198.0;8.307851100000335;0.031154441625001254
150;ca;09:00;I promessi sposi;corrente;eseguito;270.0;09:30;198.0;8.397875999999997;0.03149203499999999
150;ca;09:00;Delitto e castigo;precedente;eseguito;270.0;09:30;198.0;3.99999953515362e-06;1.4999998256826075e-08
150;ca;09:00;Il cacciatore di aquiloni;precedente;eseguito;270.0;09:30;198.0;2.8000004022032954e-06;1.0500001508262358e-08
150;ca;09:00;Se questo è un uomo;precedente;eseguito;270.0;09:30;198.0;2.3000002329354174e-06;8.625000873507815e-09
150;ca;09:00;La metamorfosi;precedente;eseguito;270.0;09:30;198.0;1.600000359758269e-06;6.000001349093509e-09
150;ca;09:00;Il ritratto di Dorian Gray;precedente;eseguito;270.0;09:30;198.0;6.599999323952943e-06;2.4749997464823536e-08
150;ca;09:30;Il vecchio e il mare;corrente;eseguito;190.0;10:00;180.0;8.368254699999852;0.022082894347221833
150;ca;09:30;Guerra e pace;corrente;eseguito;190.0;10:00;180.0;8.367968400000791;0.022082138833335423
150;ca;09:30;Uno, nessuno e centomila;corrente;eseguito;190.0;10:00;180.0;8.414818299999752;0.022205770513888234
150;ca;09:30;L'ombra del vento;corrente;eseguito;190.0;10:00;180.0;8.421135900000081;0.022222441958333547
150;ca;09:30;Cime tempestose;corrente;eseguito;190.0;10:00;180.0;8.40706390000014;0.02218530751388926
150;ca;09:30;Don Chisciotte della Mancia;precedente;eseguito;190.0;10:00;180.0;7.099999493220821e-06;1.873610977377717e-08
150;ca;09:30;Il barone rampante;precedente;eseguito;190.0;10:00;180.0;2.8000004022032954e-06;7.388889950258696e-09
150;ca;09:30;Harry Potter e la pietra filosofale;precedente;eseguito;190.0;10:00;180.0;5.4000001910026185e-06;1.4250000504034688e-08
150;ca;09:30;Fahrenheit 451;precedente;eseguito;190.0;10:00;180.0;4.699999408330768e-06;1.2402776216428418e-08
150;ca;09:30;I promessi sposi;precedente;eseguito;190.0;10:00;180.0;4.200000148557592e-06;1.1083333725360312e-08
